Example,Seasonality,Reproductive Strategy ,Form,stem,Leaf position,Leaf shape,petiole,heads,Flower position,Phyllary/bracts,Receptacle/pedicel,Flowers types,Anther base,Anther tip,Corolla color,style tip,style branching,Fruit shape,Pappus/calyx/sepal,rhizome,Class
Hesperis,perbi,monoecious,,,alternate,"entire,lobed",,none,,0,present,bisexual,,,wpu,,,"linear,cylindric",erect,,Brassicaeae
Hirshfeldia,peranbi,monoecious,,erect,alternate,lobed,no,none,,0,erect,bisexual,,,yw,,,cylindric,spreading,,Brassicaeae
Isatis,both,monoecious,,erect,alternate,simple,"yes,no",none,,,ascending,bisexual,,,,,,"oblong,round,flat",leaf like,,Brassicaeae
Malcomia,both,monoecious,,"prostrate,erect,branched",alternate,"simple,pinnate",yes,none,,"0,present",present,bisexual,,,rpu,"tapered,0",,"linear,oblong,elliptic",erect,,Brassicaeae
Matthiola,both ,monoecious,,"few,branched",alternate,"simple,entire,dentate",,none,,,,bisexual,,,rpu,,,"linear,cylindric,flat",erect,,Brassicaeae
Phoenicaulis,perennial,monoecious,,scapose,alternate,"simple,entire",yes,none,,,spreading,bisexual,,,rppu,,,"lanceolate,flat",erect,,Brassicaeae
Polyctenium,perennial ,monoecious,,"erect,branched",alternate,"lobed,compound,linear",no,none,umbel,0,ascending,bisexual,,,wpu,,,flat,,,Brassicaeae
Raphanus,anbi,monoecious,,branched,alternate,"lobed,compound,ovate,round,dentate","yes,no",none,,0,,bisexual,,,,,,"linear,ovate,grooved",erect,,Brassicaeae
Rapistrum,both,monoecious,,branched,alternate,"lobed,compound,simple,dentate","yes,no",none,,0,"slender,thick",bisexual,,,yellow,,,"elliptic,oblong",,,Brassicaeae
Rorippa,anbi,monoecious,,"prostrate,erect,branched,",alternate,compound,"yes,no",none,"terminal,lateral",,"ascending,slender",bisexual,,,yw,0,,"linear,round",,,Brassicaeae
Sibara,anbi,monoecious,,"many,erect,branched",alternate,"lobed,simple",,none,,,"spreading,erect",bisexual,,,wpu,,,"linear,flat,cylindric","oblong,ovate",,Brassicaeae
Sinapis,annual,monoecious,,"erect,branched",alternate,lobed,"yes,no",none,terminal,0,,bisexual,,,yellow,,,"cylindric,angled,flat",spreading,,Brassicaeae
Sisybrium,anbi,monoecious,,"erect,branched",alternate,lobed,"yes,no",none,,0,present,bisexual,,,yellow,conic,,"linear,cylindric","erect,spreading",,Brassicaeae
Stanleya,both,monoecious,shrub,branched,alternate,lobed,"yes,no",none,,,present,bisexual,,,yw,"short,0",,linear,spreading,,Brassicaeae
Streptanthella,annual ,monoecious,,"many,branched",alternate,"oblanceolate,entire,dentate",,none,,,curved,bisexual,,,white,,,"linear,flat",,,Brassicaeae
Streptanthus,both,monoecious,,,alternate,"entire,compound,linear,ovate",yes,none,,0,,bisexual,,,,"short,0",,"long,compressed",erect,,Brassicaeae
Thelypodium,peranbi,monoecious,,"erect,branched",alternate,"rosette,lobed,","yes,no",none,,,flat,bisexual,,,wpu,,,"linear,cylindric,flat",erect,,Brassicaeae
Tropidocarpm,annual ,monoecious,,"prostrate,erect,branched,",alternate,"lobed,linear,oblong,entire,dentate",,none,,leaf like,"spreading,ascending,erect",bisexual,,,yellow,slender,,"linear,oblong,flat",spreading,,Brassicaeae
Allotropa,perennial,monoecious,,0,,scale,,none,raceme,0,,bisexual,,lobed,white,,,capsule,0,yes,Ericaceae
Arbutus,perennial,monoecious,"shrub,tree",erect,alternate,"ovate,oblong",,none,panicle,present,,bisexual,,,wyp,,,berry,fused,,Ericaceae
Arctostaphylos,perennial,monoecious,"shrub,small tree","prostrate,erect",alternate,,,none,"raceme,panicle,terminal",leaf like,,bisexual,,pored,wp,,,"drupe,spheric",free,,Ericaceae
Cassiope,perennial,monoecious,shrub,"decumbent,prostrate",opposite,,,none,solitary,0,jointed,bisexual,,,white,,,capsule,free,,Ericaceae
Chimaphila,perennial,monoecious,shrub,,whorled,"lanceolate,oblanceolate",yes,none,raceme,"lanceolate,ovate",,bisexual,,,wpr,,,capsule,free,yes,Ericaceae
Comarostaphylis,perennial,monoecious,"shrub,small tree",,alternate,"entire,serrate",,none,"raceme,panicle",present,,bisexual,,,,,,drupe,fused,,Ericaceae
Erica,perennial,monoecious,shrub,erect,"alternate,opposite,whorled",dentate,,none,"raceme,panicle",present,unjointed,bisexual,,lobed,wp,,,capsule,free,,Ericaceae
Gaultheria,perennial,monoecious,shrub,"erect,prostrate",alternate,,,none,"raceme,solitary",present,jointed,bisexual,,,white,,,capsule,fused,yes,Ericaceae
Hemitomes,perennial ,monoecious,,0,,scale,,none,"cyme,raceme,solitary",0,,bisexual,,long,crp,hairy,,berry,free,yes,Ericaceae
Kalmia,perennial ,monoecious,"shrub,small tree","erect,prostrate","alternate,opposite,whorled",,,none,"panicle,raceme,solitary",leaf like,jointed,bisexual,,,ppu,,,capsule,fused,"yes,no",Ericaceae
Ledum,perennial ,monoecious,shrub,"decumbent,erect",alternate,,,none,"raceme,terminal",present,unjointed,bisexual,,,yw,,,capsule,fused,,Ericaceae
Leucothoe,perennial ,monoecious,"shrub,small tree",erect,alternate,"serrate,entire",,none,raceme,present,jointed,bisexual,,,white,,,capsule,fused,,Ericaceae
Menziesia,perennial ,monoecious,shrub,erect,alternate,elliptic,,none,umbel,scarious,,bisexual,,,ypog,,,capsule,fused,,Ericaceae
Moneses,perennial ,monoecious,,,"alternate,whorled","ovate,obovate",yes,none,solitary,ovate,,bisexual,,,wp,slender,,capsule,fringed,,Ericaceae
Monotropa,perennial,monoecious,,0,,scale,,none,"raceme,solitary",present,spreading,bisexual,,,,,,capsule,free,,Ericaceae
Ornithostaphylos,perennial,monoecious,shrub,erect,"opposite,whorled",linear,,none,panicle,present,unjointed,bisexual,,,white,,,drupe,fused,,Ericaceae
Orthilia,perennial,monoecious,shrub,,,"ovate,elliptic,entire",yes,none,raceme,lanceolate,,bisexual,,,wcrg,,,capsule,,yes,Ericaceae
Phyllodoce,perennial,monoecious,shrub,decumbent,alternate,"needle,linear",,none,solitary,leaf like,jointed,bisexual,,long,rppu,,,capsule,fused,yes,Ericaceae
