Example,Shoot growth form,Leaf distribution along the axis (arrangement),Apomixis,Plant growth form,Plant growth form standardized,Flower sexual system,Species reproduction types,Flower color,Fruit type,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf type,"Dicliny (monoeceous, dioecious, hermaphrodite)",Fertilization,Seed morphology,Plant functional type PFT (Sheffield DGVM 1),Plant functional type PFT (Sheffield DGVM 2),Plant functional type PFT (Sheffield DGVM 3),Plant functional type PFT (LPJ DGVM 1),Plant functional type PFT (LPJ DGVM 2),"Plant functional type PFT (Poulter, B)",Leaf shape,Dichogamy,Growth Form,Low Growing Grass,Shape and Orientation,Plant functional type PFT (Biome-BGC 1),Plant functional type PFT (Biome-BGC 2),Flower - Inflorescence,Flower - Corolla,Leaf shape: driptip,Class
Solanum dulcamara,Lianas and climbers,,"amphimicitc, sexual",herb|shrub|herbaceous vine,,hermaphrodite,by seed and vegetatively,violet,berry,toothed,pointed,1-3 times as long as wide,rounded,petiolate,broad-leaved,hermaphrodite,,"No appendages, coarse surface",na,na,na,na,na,,always simple,homogamous,,,,,,,,,Solanum
Solanum giganteum,,alternate,,shrub|tree,,hermaphrodite,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,panicle,(partly) united,,Solanum
Solanum inaequiradians,,alternate,,herb|shrub,,hermaphrodite,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,(partly) united,,Solanum
Solanum incanum,,alternate,,shrub,,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,(partly) united,,Solanum
Solanum lanzae,,alternate,,herb,,andromonoecy|hermaphrodite,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,umbel-like,(partly) united,,Solanum
Solanum lycopersicum,,,,herb,Herb,hermaphrodite,,Yellow,,,,,,,,,,,,,,,,,,,Single Stem,No,Erect,,,,,,Solanum
Solanum macracanthum,,alternate,,woody,,,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,(partly) united,,Solanum
Solanum macrocarpon,,alternate,,herb|shrub,,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Solanum malindiense,,alternate,,woody,,andromonoecy,,blue,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Solanum marginatum,,alternate,,herb|shrub,Shrub,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,(partly) united,,Solanum
Solanum mauense,,alternate,,shrub,,hermaphrodite,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Solanum melongena,,alternate,,herb|shrub,Herb,andromonoecy,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,Single Stem,No,Erect,,,solitary (or few) flowers,(partly) united,,Solanum
Solanum nakurense,,opposite,,shrub,,,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,umbel-like,(partly) united,,Solanum
Solanum nigriviolaceum,,alternate,,herb|shrub,,andromonoecy,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,raceme (-like),(partly) united,,Solanum
Solanum physalifolium,,always Erosulate plant,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed/by spore,white,berry,,,,,,,,,,,,,,,,always full,,,,,,,,,,Solanum
Solanum polhillii,,alternate,,woody,,andromonoecy,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,(partly) united,,Solanum
Solanum richardii,,alternate,,shrub,,andromonoecy,,purple,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,(partly) united,,Solanum
Solanum robustum,,opposite,,shrub,Shrub,,,white,berry,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",(partly) united,,Solanum
