Example,Shoot growth form,Leaf distribution along the axis (arrangement),Apomixis,Plant growth form,Plant growth form standardized,Flower sexual system,Species reproduction types,Flower color,Fruit type,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf type,"Dicliny (monoeceous, dioecious, hermaphrodite)",Fertilization,Seed morphology,Plant functional type PFT (Sheffield DGVM 1),Plant functional type PFT (Sheffield DGVM 2),Plant functional type PFT (Sheffield DGVM 3),Plant functional type PFT (LPJ DGVM 1),Plant functional type PFT (LPJ DGVM 2),"Plant functional type PFT (Poulter, B)",Leaf shape,Dichogamy,Growth Form,Low Growing Grass,Shape and Orientation,Plant functional type PFT (Biome-BGC 1),Plant functional type PFT (Biome-BGC 2),Flower - Inflorescence,Flower - Corolla,Leaf shape: driptip,Class
Carex rostrata,Stem erect,,"amphimicitc, sexual",graminoid,Herb,monoecious,by seed and vegetatively,Brown,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,normally cross,Closed structures,GC3,GC3,GC3,GC3,GC3,Boreal,always grass-like,protogynous,Rhizomatous,No,Erect,GC3,GC3,,,,Carex
Carex rupestris,Stem erect,semi-rosette,"amphimicitc, sexual",graminoid,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,,Closed structures,,,,,,Polar,always grass-like,,,,,,,,,,Carex
Carex saxatilis,Stem erect,rosette,,Graminoids,Herb,,,Brown,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,,Closed structures,C3H,GC3,GC3,TmpH,GC3,,,,Rhizomatous,No,Erect,GC3,GC3,,,,Carex
Carex secalina,Stem ascending to prostrate,semi-rosette,"amphimicitc, sexual",grass,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex sempervirens,,rosette,"amphimicitc, sexual",grass,,monoecious,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex spicata,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,generative,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,,,,,,,,always grass-like,,,,,,,,,,Carex
Carex strigosa,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex supina,Stem erect,rosette,"amphimicitc, sexual",grass,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex sylvatica,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex trinervis,Stem erect,rosette,"amphimicitc, sexual",Graminoids,,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex umbrosa,Stem erect,rosette,"amphimicitc, sexual",Graminoids,,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex vaginata,Stem erect,semi-rosette,"amphimicitc, sexual",graminoid,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,,Closed structures,GC3,GC3,GC3,GC3,GC3,Polar,always grass-like,,,,,GC3,GC3,,,,Carex
Carex vesicaria,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,Green,nut,toothed,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,Rhizomatous,No,Erect,,,,,,Carex
Carex viridula,Stem ascending to prostrate,rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,Green,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,,,,,,,,always grass-like,,Bunch,No,Erect,,,,,,Carex
Carex vulpina,Stem erect,semi-rosette,"amphimicitc, sexual",mesoxerophyte,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex vulpinoidea,Stem erect,always Hemirosette plant,"amphimicitc, sexual",Graminoid,Herb,monoecious,by seed and vegetatively,Green,nut,,,,,,,,,,,,,,,,always grass-like,,Bunch,No,Erect,,,,,,Carex
Euphorbia amygdaloides,Stem erect,,"amphimicitc, sexual",c C,Herb,monoecy,by seed and vegetatively,green,capsule,entire,pointed,>3 times as long as wide,truncate,sessile,,monoecious,normally cross,Elaiosome,,,,,,,always long-leaf,markedly protogynous,,,,,,,,,Euphorbia
Euphorbia balsamifera,,alternate,,succulent,,monoecy,,yellow,capsule,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,,,,Euphorbia
Euphorbia chamaesyce,,leaves distributed regularly along the stem,"amphimicitc, sexual",a T,Herb,hermaphroditic,by seed/by spore,,capsule,,,,,,,,,,,,,,,,,,,,,,,,,,Euphorbia
Euphorbia cotinifolia,,whorled,,woody,,,,yellow,capsule,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,,,Euphorbia
Euphorbia cyparissias,Stem erect,,"amphimicitc, sexual",herb,Herb,monoecy,vegetative,green,capsule,entire,pointed,>3 times as long as wide,rounded,sessile,,monoecious,obligatory cross,Elaiosome,,,,,,,always long-leaf,markedly protogynous,,,,,,,,,Euphorbia
Euphorbia dulcis,Stem erect,no rosette,"mostly sexual, rarely apomictic",b H,Herb,monoecy,by seed and vegetatively,green,capsule,entire,rounded,1-3 times as long as wide,cuneate,subsessile,,monoecious,normally cross,Elaiosome,,,,,,,always simple,markedly protogynous,,,,,,,,,Euphorbia
Euphorbia epithymoides,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,monoecy,by seed and vegetatively,green,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Euphorbia
Euphorbia esula,Stem erect,,facultativ apomictic,herb,Herb,monoecy,by seed and vegetatively,green,capsule,entire,mucronate,>3 times as long as wide,cuneate,sessile,,monoecious,normally cross,Elaiosome,,,,,,,linear,markedly protogynous,,,,,,,,,Euphorbia
Euphorbia exigua,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,monoecy,by seed/by spore,green,capsule,entire,pointed,>3 times as long as wide,truncate,sessile,,monoecious,,Elaiosome,,,,,,,always long-leaf,,,,,,,,,,Euphorbia
Euphorbia falcata,Stem erect,no rosette,"amphimicitc, sexual",Forbs,Herb,monoecy,by seed/by spore,blue,capsule,,,,,,,,,No appendages,,,,,,,always long-leaf,,,,,,,,,,Euphorbia
Euphorbia helioscopia,Stem prostrate,no rosette,"amphimicitc, sexual",herb,Herb,monoecy,by seed/by spore,green,capsule,toothed,rounded,1-3 times as long as wide,cuneate,sessile,,monoecious,normally cross,"No appendages, coarse surface",,,,,,,always full,markedly protogynous,,,,,,,,,Euphorbia
Euphorbia heterophylla,,opposite,,herb,Herb,monoecy,,white,capsule,,,,,,broad-leaved,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",,,Euphorbia
Euphorbia hirta,,opposite,,herb,Herb,monoecy,,white,capsule,,,,,,broad-leaved,,,,,,,,,,ovate or elliptic etc.,,,,,,,fascicle,,,Euphorbia
Euphorbia humifusa,,no rosette,"amphimicitc, sexual",herb,Herb,monoecy,by seed/by spore,green,capsule,,,,,,broadleaved,,,,,,,,,Temperate,rhomboid,,,,,,,,,,Euphorbia
Euphorbia hypericifolia,,opposite,,herb,Herb,monoecy,,green,capsule,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",,,Euphorbia
Euphorbia lathyris,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,monoecy,by seed/by spore,green,capsule,,,,,,,,,Elaiosome,,,,,,,always long-leaf,,,,,,,,,,Euphorbia
Euphorbia lucida,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,monoecy,by seed and vegetatively,green,capsule,,,,,,,,,Nutrient containing structures,,,,,,,always long-leaf,,,,,,,,,,Euphorbia
Euphorbia lucorum,,,,herb,,monoecy,,,,,,,,,,,,,,,,,,,rhomboid,,,,,,,,,,Euphorbia
Euphorbia maculata,,always Erosulate plant,"amphimicitc, sexual",herb,Herb,monoecy,by seed/by spore,green,capsule,,,,,,,,,,,,,,,,always full,,,,,,,,,,Euphorbia
Euphorbia matabelensis,,whorled,,woody,,monoecy,,green,capsule,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,"cyme, dichasium etc.",free,,Euphorbia
Euphorbia mauritanica,,alternate,,succulent,Herb,monoecy,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,,,,Euphorbia
Euphorbia nutans,,always Erosulate plant,"amphimicitc, sexual",Forb,Herb,monoecy,by seed/by spore,green,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Euphorbia
Euphorbia palustris,Stem erect,no rosette,"amphimicitc, sexual",Forbs,Herb,monoecy,by seed and vegetatively,yellow,capsule,,,,,,,,,Elaiosome,,,,,,,always simple,,,,,,,,,,Euphorbia
Euphorbia paralias,Stem erect,leaves distributed regularly along the stem,,b H,Herb,monoecy,,,,entire,pointed,1-3 times as long as wide,truncate,sessile,,monoecious,normally cross,"No appendages, smooth surface",,,,,,,,markedly protogynous,,,,,,,,,Euphorbia
Euphorbia peplus,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,monoecy,by seed/by spore,green,capsule,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,monoecious,normally cross,Elaiosome,,,,,,,always full,markedly protogynous,,,,,,,,,Euphorbia
Euphorbia platyphyllos,Stem erect,no rosette,"amphimicitc, sexual",a T,Herb,hermaphroditic,by seed/by spore,green,capsule,toothed,pointed,1-3 times as long as wide,cordate,sessile,,monoecious,normally cross,Elaiosome,,,,,,,always simple,markedly protogynous,,,,,,,,,Euphorbia
Euphorbia prostrata,,leaves distributed regularly along the stem,"amphimicitc, sexual",herb,Herb,monoecy,by seed/by spore,green,capsule,,,,,,,,,,,,,,,,,,,,,,,,,,Euphorbia
Euphorbia salicifolia,,no rosette,"amphimicitc, sexual",shrub,Shrub,hermaphroditic,by seed/by spore,green,capsule,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Euphorbia
Euphorbia segetalis,Stem erect,,"amphimicitc, sexual",Herbaceous dicots,Herb,monoecy,by seed/by spore,yellow,capsule,,,,,,,,,,,,,,,,,,,,,,,,,,Euphorbia
Euphorbia seguieriana,Stem erect,,"amphimicitc, sexual",d Z,Shrub,monoecy,by seed and vegetatively,yellow,capsule,,,,,,,,,Elaiosome,,,,,,,always long-leaf,,,,,,,,,,Euphorbia
Euphorbia serpens,,always Erosulate plant,"amphimicitc, sexual",herb,Herb,monoecy,by seed/by spore,green,capsule,,,,,,,,,,,,,,,,always full,,,,,,,,,,Euphorbia
Euphorbia stricta,,no rosette,"amphimicitc, sexual",,Herb,monoecy,by seed/by spore,green,capsule,toothed,pointed,1-3 times as long as wide,cordate,sessile,,monoecious,,,,,,,,,,,,,,,,,,,Euphorbia
Euphorbia thymifolia,,opposite,,herb,Herb,monoecy,,red,capsule,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,,,,Euphorbia
Euphorbia tirucalli,,alternate,,tree|shrub|tree|shrub,,dioecy,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,,,,Euphorbia
Euphorbia verrucosa,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,monoecy,by seed/by spore,yellow,capsule,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Euphorbia
Euphorbia zambesiana,,alternate,,herb,Herb,,,white,capsule,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,(partly) united,,Euphorbia
Festuca airoides,Stem erect,semi-rosette,"amphimicitc, sexual",grass,Herb,hermaphroditic,"mostly by seed, rarely vegetatively",,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca alpina,,semi-rosette,"amphimicitc, sexual",grass,,hermaphroditic,by seed/by spore,,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca altissima,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed/by spore,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca amethystina,,semi-rosette,"amphimicitc, sexual",grass,Herb,hermaphroditic,by seed/by spore,,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca arundinacea,Stem erect,,"amphimicitc, sexual",graminoid,Herb,hermaphroditic,by seed/by spore,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,hermaphrodite,,Open structures,,,,,,Temperate,always grass-like,homogamous,,,,,,,,,Festuca
Festuca beckeri,Stem erect,semi-rosette,"amphimicitc, sexual",grass,Herb,hermaphroditic,by seed/by spore,,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca duvalii,Stem erect,,"amphimicitc, sexual",grass,Herb,hermaphroditic,"mostly by seed, rarely vegetatively",,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca filiformis,Stem erect,rosette,"amphimicitc, sexual",grass,Herb,hermaphroditic,by seed/by spore,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca gigantea,Stem erect,no rosette,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,by seed/by spore,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,Open structures,,,,,,,always grass-like,weakly protogynous,,,,,,,,,Festuca
Festuca guestfalica,Stem erect,semi-rosette,"amphimicitc, sexual",grass,,hermaphroditic,by seed/by spore,,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Festuca
Festuca heteropachys,Stem erect,rosette,"amphimicitc, sexual",grass,Herb,hermaphroditic,by seed/by spore,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca heterophylla,Stem erect,semi-rosette,"amphimicitc, sexual",herb/sub-shrub,Herb,hermaphroditic,by seed/by spore,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca laevigata,,always Hemirosette plant,"amphimicitc, sexual",Graminoids,,hermaphroditic,by seed/by spore,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca nigrescens,Stem erect,,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed and vegetatively,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca norica,,semi-rosette,"amphimicitc, sexual",grass,,hermaphroditic,by seed and vegetatively,,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca ovina,Stem erect,semi-rosette,"amphimicitc, sexual",graminoid,Herb,hermaphroditic,by seed/by spore,Yellow,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,hermaphrodite,viviparous,"No appendages, coarse surface",,,,,,Temperate,always grass-like,,Bunch,No,Semi-Erect,,,,,,Festuca
Festuca pallens,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,"mostly by seed, rarely vegetatively",,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca patzkei,Stem ascending to prostrate,,"amphimicitc, sexual",grass,,hermaphroditic,by seed/by spore,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca pratensis,Stem erect,semi-rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,normally cross,Open structures,,,,,,,always grass-like,protogynous,,,,,,,,,Festuca
Festuca psammophila,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed/by spore,,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca puccinellii,,semi-rosette,"amphimicitc, sexual",grass,,hermaphroditic,by seed/by spore,,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca pulchella,Stem erect,semi-rosette,"amphimicitc, sexual",Grass,Herb,hermaphroditic,by seed and vegetatively,,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca quadriflora,,semi-rosette,"amphimicitc, sexual",Graminoids,,hermaphroditic,generative,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca rubra,Stem erect,semi-rosette,"amphimicitc, sexual",graminoid,Herb,hermaphroditic,by seed and vegetatively,Yellow,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,hermaphrodite,viviparous,Open structures,C3H,na,na,TmpH,na,Boreal,always grass-like,homogamous,Rhizomatous,Yes,Decumbent,,,,,,Festuca
Festuca rupicaprina,,always Hemirosette plant,"amphimicitc, sexual",grass,,hermaphroditic,by seed/by spore,,nut,,,,,,,,,,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca rupicola,Stem erect,,"amphimicitc, sexual",Grass,Herb,hermaphroditic,"mostly by seed, rarely vegetatively",,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca subverticillata,,semi-rosette,,Grass,Herb,hermaphrodite,,Yellow,,,,,,,broadleaved,,,Open structures,GC3,GC3,GC3,GC3,GC3,,,,Bunch,No,Erect,GC3,GC3,,,,Festuca
Festuca trachyphylla,Stem erect,semi-rosette,"amphimicitc, sexual",Grass,Herb,hermaphroditic,by seed/by spore,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca trichophylla,Stem erect,,"amphimicitc, sexual",grass,Herb,hermaphroditic,by seed and vegetatively,,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Festuca valesiaca,Stem erect,rosette,"amphimicitc, sexual",Grass,Herb,hermaphroditic,"mostly by seed, rarely vegetatively",,nut,,,,,,,,,Open structures,,,,,,,always grass-like,,,,,,,,,,Festuca
Galium album,Stem erect,no rosette,"amphimicitc, sexual",b H,,hermaphrodite,by seed and vegetatively,white,schizocarp,,,,,,,,,"No appendages, coarse surface",,,,,,,always simple,,,,,,,,,,Galium
Galium anisophyllon,,no rosette,"amphimicitc, sexual",,,hermaphroditic,by seed and vegetatively,white,schizocarp,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Galium
Galium aparine,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite,generative,Green,schizocarp,entire,pointed,>3 times as long as wide,parallel-sided,sessile,broadleaved,hermaphrodite,cross or automatic self,Two or more short elongated appendages,na,na,na,na,na,Temperate,always simple,weakly protandrous,Single Crown,No,Decumbent,,,,,,Galium
Galium aristatum,Lianas and climbers,no rosette,"amphimicitc, sexual",,,hermaphroditic,by seed/by spore,white,schizocarp,,,,,,,,,"No appendages, coarse surface",,,,,,,always long-leaf,,,,,,,,,,Galium
Galium boreale,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite,by seed and vegetatively,White,schizocarp,entire,rounded,1-3 times as long as wide,cuneate,sessile,,hermaphrodite,cross or automatic self,Two or more short elongated appendages,na,na,na,na,na,,always simple,weakly protandrous,Single Crown,No,Erect,,,,,,Galium
Galium glaucum,Stem erect,no rosette,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,by seed/by spore,white,schizocarp,,,,,,,,,"No appendages, smooth surface",,,,,,,always long-leaf,,,,,,,,,,Galium
Galium lucidum,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,hermaphrodite,by seed/by spore,white,schizocarp,,,,,,,,,"No appendages, smooth surface",,,,,,,always long-leaf,,,,,,,,,,Galium
Galium megalospermum,,no rosette,"amphimicitc, sexual",b H,,hermaphroditic,generative,white,schizocarp,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Galium
Galium mollugo,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite,by seed/by spore,white,schizocarp,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,normally cross,"No appendages, coarse surface",na,na,na,na,na,,always long-leaf,protandrous,,,,,,,,,Galium
Galium noricum,,no rosette,"amphimicitc, sexual",,,hermaphroditic,by seed and vegetatively,white,schizocarp,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Galium
Galium odoratum,Stem erect,,"amphimicitc, sexual",herb,Herb,hermaphrodite,by seed and vegetatively,white,schizocarp,entire,rounded,1-3 times as long as wide,cuneate,sessile,,hermaphrodite,,Two or more long elongated appendages,,,,,,,always simple,homogamous,,,,,,,,,Galium
Galium palustre,Stem erect,no rosette,"amphimicitc, sexual",a T,Herb,hermaphrodite,by seed and vegetatively,white,schizocarp,entire,rounded,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,cross or automatic self,"No appendages, coarse surface",,,,,,,always simple,protandrous,,,,,,,,,Galium
Galium parisiense,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite,by seed/by spore,yellow,schizocarp,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,,Two or more short elongated appendages,,,,,,,always simple,,,,,,,,,,Galium
Galium pumilum,Stem erect,no rosette,"amphimicitc, sexual",Forbs,Herb,hermaphrodite,by seed and vegetatively,white,schizocarp,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,cross or automatic self,"No appendages, smooth surface",,,,,,,always long-leaf,protandrous,,,,,,,,,Galium
Galium rotundifolium,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",b H,,hermaphrodite,by seed and vegetatively,white,schizocarp,,,,,,,,,Two or more long elongated appendages,,,,,,,always full,,,,,,,,,,Galium
Galium saxatile,Stem prostrate,no rosette,"amphimicitc, sexual",Forbs,Herb,hermaphrodite,by seed and vegetatively,white,schizocarp,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,cross or automatic self,Two or more short elongated appendages,,,,,,,always simple,protandrous,,,,,,,,,Galium
Galium spurium,Lianas and climbers,,"amphimicitc, sexual",herb,Herb,hermaphrodite,by seed/by spore,white,schizocarp,,,,,,,,,Two or more short elongated appendages,,,,,,,always simple,,,,,,,,,,Galium
Galium sterneri,Stem ascending to prostrate,always Erosulate plant,"amphimicitc, sexual",Forbs,,hermaphroditic,by seed and vegetatively,white,schizocarp,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,obligatory cross,,,,,,,,always long-leaf,protandrous,,,,,,,,,Galium
Galium suecicum,Stem ascending to prostrate,always Erosulate plant,"amphimicitc, sexual",,,hermaphrodite,by seed and vegetatively,white,schizocarp,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Galium
Galium sylvaticum,Stem erect,no rosette,"amphimicitc, sexual",b H,Herb,hermaphrodite,by seed/by spore,white,schizocarp,,,,,,,,,"No appendages, coarse surface",,,,,,,always simple,,,,,,,,,,Galium
Galium tricornutum,Lianas and climbers,no rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite,by seed/by spore,white,schizocarp,,,,,,,,,Two or more short elongated appendages,,,,,,,always simple,,,,,,,,,,Galium
Galium truniacum,,always Erosulate plant,"amphimicitc, sexual",,,hermaphroditic,by seed/by spore,white,schizocarp,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Galium
Galium uliginosum,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite,by seed and vegetatively,white,schizocarp,entire,mucronate,>3 times as long as wide,cuneate,sessile,,hermaphrodite,cross or automatic self,"No appendages, coarse surface",,,,,,,always simple,weakly protandrous,,,,,,,,,Galium
Galium valdepilosum,,always Erosulate plant,"amphimicitc, sexual",,,hermaphrodite,by seed and vegetatively,white,schizocarp,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Galium
Galium verrucosum,Lianas and climbers,no rosette,"amphimicitc, sexual",Herbaceous dicots,Herb,andromonoecy,by seed/by spore,white,schizocarp,,,,,,,,,"No appendages, coarse surface",,,,,,,always simple,,,,,,,,,,Galium
Galium verum,Stem erect,no rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite,by seed and vegetatively,yellow,schizocarp,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,cross or automatic self,"No appendages, coarse surface",na,na,na,na,na,,linear,markedly protandrous,,,,,,,,,Galium
Gladiolus alatus,,alternate,,herb,Herb,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),free,,Gladiolus
Gladiolus atropurpureus,,alternate,,herb,Herb,,,white,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus brevifolius,,alternate,,herb,Herb,,,pink,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus bullatus,,alternate,,herb,,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),free,,Gladiolus
Gladiolus carinatus,,alternate,,herb,,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus communis,,rosette,"amphimicitc, sexual",grass,Herb,hermaphroditic,by seed and vegetatively,pink,capsule,,,,,,,,,,,,,,,,always ensiform,,,,,,,,,,Gladiolus
Gladiolus dalenii,,alternate,,herb,Herb,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),free,,Gladiolus
Gladiolus erectiflorus,,alternate,,herb,Herb,,,white,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus gracilis,,alternate,,herb,,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus illyricus,Stem erect,rosette,"amphimicitc, sexual",geophyte,,hermaphroditic,by seed and vegetatively,pink,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,,,,,,,,,linear,,,,,,,,,,Gladiolus
Gladiolus imbricatus,Stem erect,rosette,"amphimicitc, sexual",grass,,hermaphroditic,by seed and vegetatively,purple,capsule,,,,,,,,,Flat appendages (small),,,,,,,always ensiform,,,,,,,,,,Gladiolus
Gladiolus involutus,,alternate,,herb,,,,white,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus laxiflorus,,alternate,,herb,,,,purple,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus maculatus,,alternate,,herb,,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
